"","network","structure","composition","err_1","err_3","mean_change","mean_change_perc","rc"
"1",374,"Centralized","Homophilous",1990.5,2259.83333333333,329.708333333333,0.165640961232521,0.768983273810004
"2",411,"Egalitarian","Homophilous",2526.36666666667,2573.23076923077,-122.76,-0.0485915214207492,0.394340301335421
"3",412,"Centralized","Homophilous",3043.03703703704,4756.65384615385,1596.57692307692,0.524665623074863,-0.215707532948498
"4",454,"Egalitarian","Homophilous",1945.96,1038.16666666667,-782,-0.401858208801825,0.871388727297397
"5",455,"Egalitarian","Diverse",1545.57894736842,548.47619047619,-1063.83333333333,-0.688307339553679,0.897494941903971
"6",456,"Egalitarian","Diverse",1079.76,760,-369.304347826087,-0.342024475648373,0.777263489001459
"7",467,"Centralized","Diverse",1035.82608695652,3915.71428571429,2792.19047619048,2.69561706482459,0.0845096672901313
"8",479,"Centralized","Homophilous",2100,2914.09523809524,814.095238095238,0.387664399092971,0.61461298787071
"9",481,"Egalitarian","Diverse",2229.79166666667,1468,-955.863636363636,-0.428678450391989,0.882809329542578
"10",482,"Egalitarian","Diverse",912.814814814815,309.518518518519,-603.296296296296,-0.660918607481944,0.941295656704363
"11",483,"Egalitarian","Diverse",783.08,454.5,-279.333333333333,-0.356711106570636,0.895525758174605
"12",492,"Egalitarian","Diverse",1568.33333333333,2002.05,358.55,0.228618490967056,0.17326535034211
"13",496,"Egalitarian","Homophilous",2887.66666666667,2437.91666666667,-449.75,-0.155748585940205,0.509066517964218
"14",497,"Centralized","Homophilous",1699.16,3414.17391304348,2129.4347826087,1.25322793769197,0.154790689924441
"15",498,"Centralized","Diverse",2795.8,3897.05,900.5,0.322090278274555,0.0275503292372714
"16",501,"Centralized","Diverse",2151.76923076923,3763.08695652174,1376.95652173913,0.639918306317116,-0.20500256411291
"17",502,"Centralized","Diverse",3112.25,4009.42857142857,1091.38095238095,0.35067264917052,-0.112747524747877
"18",524,"Egalitarian","Homophilous",1773.59090909091,1512.83333333333,-191.333333333333,-0.10787906746286,0.597691241157374
"19",525,"Centralized","Homophilous",2290.13043478261,3336.95238095238,765.4,0.334216771400907,-0.0439381235876053
"20",526,"Egalitarian","Homophilous",3955.52380952381,3991.71428571429,-59.6,-0.0150675366575976,-0.143993786217823
"21",535,"Centralized","Homophilous",2103.75,1554.26923076923,-577.269230769231,-0.274400109694227,0.501651926151273
"22",536,"Centralized","Homophilous",3158.72,4519.90909090909,1154.5,0.365496150339378,-0.191300044111758
"23",537,"Egalitarian","Homophilous",2239.25,1282.04545454545,-1133.95454545455,-0.506399261116242,0.893809400212068
"24",539,"Centralized","Diverse",1769,2491.1,260.947368421053,0.147511231442087,0.256933970236353
"25",540,"Centralized","Diverse",1710.15789473684,1741.21052631579,31.0526315789474,0.0181577570553658,0.410798893713438
"26",544,"Centralized","Diverse",1793.67857142857,2814.4347826087,659.95652173913,0.367934663574371,0.151182188976161
"27",545,"Centralized","Homophilous",2902.2380952381,3737.42857142857,1126.55,0.388165947462549,-0.141172423547442
"28",546,"Egalitarian","Homophilous",2590.39130434783,1484.27272727273,-907.272727272727,-0.350245434251544,0.751715931295569
"29",548,"Egalitarian","Homophilous",1440.45,1125.7,-229.210526315789,-0.159124250279975,0.599520824701924
"30",550,"Egalitarian","Diverse",1812.8,1551.26086956522,43,0.0237202118270079,0.527907785743772
"31",563,"Egalitarian","Diverse",393.428571428571,391.535714285714,-1.89285714285714,-0.00481118373275236,0.526628775983511
"32",564,"Centralized","Diverse",663.826086956522,453.833333333333,-136.5,-0.205626146188106,0.89499200407375
